nid,type,createddate,etid,localapprovalstatus,"Slideshow node","Slideshow status","Slideshow created date","Slideshow photo count",Video_node,Video_status,Video_created_date,Video_type,"List items",Vertical
77841231,story,05/1/2015,459526,1,77854991,1,05/1/2015,6,N/a,N/a,N/a,N/a,N/a,No
77851741,review,05/1/2015,30457,1,N/a,N/a,N/a,N/a,77851661,1,04/30/2015,5min.com,N/a,Yes
77852086,story,05/1/2015,2896,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77848426,story,05/1/2015,58104,1,77848246,1,05/1/2015,10,77848041,1,05/1/2015,5min.com,N/a,No
77841056,story,05/1/2015,49613,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77784001,review,05/1/2015,51680,1,77816851,1,05/1/2015,20,77873931,1,05/1/2015,Youtube,N/a,Yes
77696041,story,05/1/2015,2766,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
76557077,review,05/1/2015,51680,1,76563182,1,05/1/2015,19,76556522,1,05/1/2015,Youtube,N/a,Yes
77861791,story,05/1/2015,478356,1,N/a,N/a,N/a,N/a,77861771,1,05/1/2015,5min.com,N/a,No
77861796,story,05/1/2015,361791,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861726,story,05/1/2015,306981,1,N/a,N/a,N/a,N/a,77861776,1,05/1/2015,5min.com,N/a,No
77861836,story,05/1/2015,239911,1,77861806,1,05/1/2015,5,N/a,N/a,N/a,N/a,N/a,No
77861841,story,05/1/2015,41776,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861866,story,05/1/2015,462386,1,N/a,N/a,N/a,N/a,77861851,1,05/1/2015,Youtube,N/a,Yes
77861891,story,05/1/2015,474686,1,N/a,N/a,N/a,N/a,77861886,1,05/1/2015,5min.com,N/a,Yes
77856881,review,05/1/2015,21844,1,N/a,N/a,N/a,N/a,77855816,1,05/1/2015,Youtube,N/a,Yes
77861946,story,05/1/2015,68123,1,77861901,1,05/1/2015,5,N/a,N/a,N/a,N/a,N/a,No
77861976,review,05/1/2015,13184,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861981,story,05/1/2015,335331,1,N/a,N/a,N/a,N/a,77861966,1,05/1/2015,5min.com,N/a,No
77861996,story,05/1/2015,30362,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862041,story,05/1/2015,21670,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861176,story,05/1/2015,428096,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77858161,story,05/1/2015,49613,1,77857536,1,05/1/2015,5,N/a,N/a,N/a,N/a,N/a,No
77852036,story,05/1/2015,10492,1,N/a,N/a,N/a,N/a,77852046,1,05/1/2015,5min.com,N/a,No
77849856,story,05/1/2015,296381,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77844821,story,05/1/2015,10492,1,77861596,1,05/1/2015,16,N/a,N/a,N/a,N/a,N/a,No
77844326,story,05/1/2015,10492,1,77844231,1,05/1/2015,15,N/a,N/a,N/a,N/a,N/a,No
77835096,story,05/1/2015,170941,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862051,story,05/1/2015,55168,1,77862006,1,05/1/2015,5,77862046,1,05/1/2015,5min.com,N/a,Yes
77858656,story,05/1/2015,481271,1,N/a,N/a,N/a,N/a,77858651,1,05/1/2015,Youtube,N/a,No
77862071,story,05/1/2015,292061,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861856,story,05/1/2015,449277,1,N/a,N/a,N/a,N/a,77861801,1,05/1/2015,Youtube,N/a,No
77862081,story,05/1/2015,25445,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862091,story,05/1/2015,62114,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862451,story,05/1/2015,8963,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862466,story,05/1/2015,478356,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862496,story,05/1/2015,474811,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862501,story,05/1/2015,24459,1,77862461,1,05/1/2015,5,N/a,N/a,N/a,N/a,N/a,Yes
77858506,review,05/1/2015,159061,1,N/a,N/a,N/a,N/a,77858396,1,04/30/2015,5min.com,N/a,Yes
77862101,story,05/1/2015,427861,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77862536,story,05/1/2015,367211,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862521,story,05/1/2015,61953,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862586,story,05/1/2015,462256,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77616456,story,05/1/2015,15981,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862526,story,05/1/2015,335331,1,N/a,N/a,N/a,N/a,77862421,1,05/1/2015,5min.com,N/a,No
77862606,story,05/1/2015,396391,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77734736,story,05/1/2015,37924,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77734316,story,05/1/2015,37924,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862676,story,05/1/2015,367211,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862711,story,05/1/2015,6759,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77856996,review,05/1/2015,21844,1,N/a,N/a,N/a,N/a,77856901,1,05/1/2015,Youtube,N/a,Yes
77862816,story,05/1/2015,469516,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862831,story,05/1/2015,168606,1,N/a,N/a,N/a,N/a,77862811,1,05/1/2015,5min.com,N/a,No
77862841,list,05/1/2015,59452,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,No
77814216,review,05/1/2015,386936,1,N/a,N/a,N/a,N/a,77814166,1,04/28/2015,Youtube,N/a,Yes
77862876,story,05/1/2015,416616,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862916,story,05/1/2015,25445,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862956,story,05/1/2015,479541,1,N/a,N/a,N/a,N/a,77864341,1,05/1/2015,5min.com,N/a,No
77862946,story,05/1/2015,14380,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862911,story,05/1/2015,320161,1,77862966,1,05/1/2015,6,N/a,N/a,N/a,N/a,N/a,No
77862961,story,05/1/2015,413566,1,N/a,N/a,N/a,N/a,77862716,1,05/1/2015,Youtube,N/a,No
77851576,list,05/1/2015,488887,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,No
77863036,story,05/1/2015,66539,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863041,story,05/1/2015,22928,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77863046,story,05/1/2015,155496,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77863066,story,05/1/2015,339701,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863086,story,05/1/2015,43784,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863121,story,05/1/2015,322431,1,77863076,1,05/1/2015,6,N/a,N/a,N/a,N/a,N/a,No
77863161,story,05/1/2015,71425,1,77863071,1,05/1/2015,5,N/a,N/a,N/a,N/a,N/a,Yes
77862771,story,05/1/2015,479091,1,N/a,N/a,N/a,N/a,77863006,1,05/1/2015,5min.com,N/a,No
77858281,story,05/1/2015,4252,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863171,story,05/1/2015,10570,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863186,story,05/1/2015,292061,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863201,story,05/1/2015,24917,1,N/a,N/a,N/a,N/a,77863191,1,05/1/2015,Youtube,N/a,Yes
77863231,story,05/1/2015,67637,1,N/a,N/a,N/a,N/a,77863131,1,05/1/2015,5min.com,N/a,No
77863246,review,05/1/2015,470281,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863271,story,05/1/2015,1712,1,N/a,N/a,N/a,N/a,77863266,1,05/1/2015,Youtube,N/a,No
77863281,story,05/1/2015,6458,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863331,story,05/1/2015,469516,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863336,story,05/1/2015,41392,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863356,story,05/1/2015,670,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863361,story,05/1/2015,375041,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77857781,story,05/1/2015,399536,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77781446,review,05/1/2015,1963,0,77841361,1,05/1/2015,20,77805126,1,05/1/2015,Youtube,N/a,No
76143572,story,05/1/2015,16041,0,76142852,1,01/11/2015,9,N/a,N/a,N/a,N/a,N/a,No
77863391,story,05/1/2015,491411,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863396,review,05/1/2015,488,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77863406,story,05/1/2015,33868,1,N/a,N/a,N/a,N/a,77863381,1,05/1/2015,Youtube,N/a,No
77848896,story,05/1/2015,43799,1,77863286,1,05/1/2015,6,N/a,N/a,N/a,N/a,N/a,No
77863416,story,05/1/2015,20650,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863426,story,05/1/2015,7812,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77862786,story,05/1/2015,113311,1,N/a,N/a,N/a,N/a,77863341,1,05/1/2015,Youtube,N/a,Yes
77863386,story,05/1/2015,68640,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863476,story,05/1/2015,2111,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863546,story,05/1/2015,670,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77823736,story,05/1/2015,30382,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77863556,story,05/1/2015,32020,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77863561,story,05/1/2015,492287,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863536,story,05/1/2015,415291,1,77863571,1,05/1/2015,10,N/a,N/a,N/a,N/a,N/a,No
77863261,review,05/1/2015,392651,1,N/a,N/a,N/a,N/a,77861876,1,05/1/2015,Youtube,N/a,Yes
77863421,story,05/1/2015,392286,0,N/a,N/a,N/a,N/a,77863656,1,05/1/2015,Youtube,N/a,Yes
77861056,story,05/1/2015,49156,1,77861361,1,05/1/2015,10,N/a,N/a,N/a,N/a,N/a,No
77863696,story,05/1/2015,406526,1,N/a,N/a,N/a,N/a,77863681,1,05/1/2015,Youtube,N/a,No
77863706,story,05/1/2015,62368,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77826566,story,05/1/2015,488272,1,77860891,1,05/1/2015,8,N/a,N/a,N/a,N/a,N/a,No
77863751,story,05/1/2015,488182,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863626,story,05/1/2015,487197,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863771,story,05/1/2015,670,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863761,story,05/1/2015,391776,0,N/a,N/a,N/a,N/a,77863641,1,05/1/2015,Youtube,N/a,No
77863781,story,05/1/2015,313681,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77863851,story,05/1/2015,36544,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77863901,story,05/1/2015,276401,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863906,story,05/1/2015,2111,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863921,story,05/1/2015,43786,1,N/a,N/a,N/a,N/a,77863866,1,05/1/2015,Youtube,N/a,No
77863896,story,05/1/2015,377731,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863931,story,05/1/2015,465981,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863961,story,05/1/2015,65371,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863971,story,05/1/2015,8151,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863941,review,05/1/2015,15548,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864011,story,05/1/2015,21945,1,N/a,N/a,N/a,N/a,77864211,1,05/1/2015,5min.com,N/a,Yes
77864031,story,05/1/2015,419366,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77863861,story,05/1/2015,435931,1,N/a,N/a,N/a,N/a,77863691,1,05/1/2015,Youtube,N/a,No
77864036,story,05/1/2015,350041,0,N/a,N/a,N/a,N/a,77863956,1,05/1/2015,Youtube,N/a,No
77864156,story,05/1/2015,42526,1,77864051,1,05/1/2015,6,N/a,N/a,N/a,N/a,N/a,Yes
77864166,story,05/1/2015,474366,1,77864046,1,05/1/2015,14,N/a,N/a,N/a,N/a,N/a,No
77863471,story,05/1/2015,413131,0,77863431,1,05/1/2015,6,N/a,N/a,N/a,N/a,N/a,No
77864171,story,05/1/2015,436836,1,77863786,1,05/1/2015,5,N/a,N/a,N/a,N/a,N/a,No
77864176,story,05/1/2015,14380,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864201,story,05/1/2015,11270,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863916,review,05/1/2015,374451,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77863701,story,05/1/2015,40995,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864251,story,05/1/2015,17788,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77864186,review,05/1/2015,71455,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77864301,story,05/1/2015,36904,1,77863976,1,05/1/2015,6,77863836,1,05/1/2015,5min.com,N/a,No
77864191,story,05/1/2015,335331,1,N/a,N/a,N/a,N/a,77863651,1,05/1/2015,5min.com,N/a,No
77864376,story,05/1/2015,75139,1,77863661,1,05/1/2015,6,N/a,N/a,N/a,N/a,N/a,No
77864386,story,05/1/2015,48355,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864261,story,05/1/2015,3242,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864436,story,05/1/2015,25445,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864461,story,05/1/2015,482296,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864466,story,05/1/2015,21763,0,N/a,N/a,N/a,N/a,77864231,1,05/1/2015,Youtube,N/a,Yes
77864481,story,05/1/2015,144521,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864451,story,05/1/2015,311761,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864401,story,05/1/2015,54390,1,77875076,1,05/1/2015,7,N/a,N/a,N/a,N/a,N/a,No
77864496,story,05/1/2015,67637,1,N/a,N/a,N/a,N/a,77864236,1,05/1/2015,5min.com,N/a,No
77864511,story,05/1/2015,467436,1,N/a,N/a,N/a,N/a,77864476,1,05/1/2015,5min.com,N/a,Yes
77864516,story,05/1/2015,469516,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864526,story,05/1/2015,287611,1,77864331,1,05/1/2015,5,N/a,N/a,N/a,N/a,N/a,No
77864556,story,05/1/2015,173431,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77864716,story,05/1/2015,481271,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864786,story,05/1/2015,433231,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864806,story,05/1/2015,335331,1,N/a,N/a,N/a,N/a,77864536,1,05/1/2015,Youtube,N/a,No
77864866,review,05/1/2015,467561,1,77864506,1,05/1/2015,20,N/a,N/a,N/a,N/a,N/a,Yes
77864851,story,05/1/2015,360501,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77864911,story,05/1/2015,392991,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77859966,story,05/1/2015,492671,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864841,story,05/1/2015,342546,1,77864541,1,05/1/2015,5,77864736,1,05/1/2015,5min.com,N/a,No
77864936,story,05/1/2015,419271,1,N/a,N/a,N/a,N/a,77864576,1,05/1/2015,5min.com,N/a,No
77865011,review,05/1/2015,459951,1,N/a,N/a,N/a,N/a,77864941,1,05/1/2015,Youtube,N/a,Yes
77865131,story,05/1/2015,43373,1,N/a,N/a,N/a,N/a,77865076,1,05/1/2015,5min.com,N/a,No
77864896,list,05/1/2015,492287,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,No
77862856,story,05/1/2015,5590,0,77864246,1,05/1/2015,10,77863291,1,05/1/2015,5min.com,N/a,Yes
77865211,story,05/1/2015,4180,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865246,story,05/1/2015,378641,1,77864931,1,05/1/2015,7,N/a,N/a,N/a,N/a,N/a,No
77865261,story,05/1/2015,48306,1,77862511,1,05/1/2015,8,77865166,1,05/1/2015,Youtube,N/a,No
77791301,story,05/1/2015,113311,1,N/a,N/a,N/a,N/a,77865156,1,05/1/2015,Youtube,N/a,Yes
77863966,story,05/1/2015,347316,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77646216,story,05/1/2015,372286,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865321,story,05/1/2015,2452,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865346,story,05/1/2015,670,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865356,story,05/1/2015,372421,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865396,story,05/1/2015,14380,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865366,story,05/1/2015,335331,1,N/a,N/a,N/a,N/a,77865271,1,05/1/2015,5min.com,N/a,No
77865441,story,05/1/2015,125051,1,77865401,1,05/1/2015,7,77865371,1,05/1/2015,Youtube,N/a,Yes
77670281,story,05/1/2015,50180,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865486,story,05/1/2015,67757,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865491,story,05/1/2015,9934,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77865381,story,05/1/2015,43758,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77583222,story,05/1/2015,323346,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865501,story,05/1/2015,2111,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865511,story,05/1/2015,4525,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77864256,story,05/1/2015,381606,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865531,story,05/1/2015,476901,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865546,story,05/1/2015,464316,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77865556,story,05/1/2015,393011,0,N/a,N/a,N/a,N/a,77865536,1,05/1/2015,Youtube,N/a,No
